CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50139400,ANDIE'S EATS,Manhattan,185,BLEECKER STREET,10012,9143648113,Bakery Products/Desserts,01/11/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,70,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.729078531416,-74.001006642818,102,01,006500,1008715,1005400043,MN23,
41243535,EMPIRE CORNER II,Manhattan,1415,5 AVENUE,10029,2124105756,Chinese,04/02/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,04/02/2024,10/09/2024,Cycle Inspection / Re-inspection,40.800487432208,-73.946572413814,111,09,018400,1051660,1016210069,MN34,
41470527,HEAVEN'S HOT BAGEL,Manhattan,283,EAST HOUSTON STREET,10002,2124207566,Bagels/Pretzels,01/21/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,41,,,10/09/2024,Cycle Inspection / Initial Inspection,40.721573256914,-73.984205791876,103,02,003001,1004244,1003500017,MN27,
40373462,VILLA BERULIA,Manhattan,107,EAST   34 STREET,10016,2126891970,Italian,04/13/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11,A,04/13/2022,10/09/2024,Cycle Inspection / Initial Inspection,40.746865746167,-73.980821742973,106,02,007200,1078763,1008900001,MN20,
50128067,GEORGIAN CORNER,Brooklyn,626,SHEEPSHEAD BAY ROAD,11224,3472400940,Eastern European,08/14/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,,,10/09/2024,Cycle Inspection / Initial Inspection,40.578972142427,-73.975261496585,313,48,035400,3426835,3072790006,BK23,
50104255,WO HOP NEXT DOOR,Manhattan,15,MOTT STREET,10013,9175510233,Chinese,08/11/2021,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,44,,,10/09/2024,Cycle Inspection / Initial Inspection,40.714179932664,-73.998755505932,103,01,002900,1079264,1001640048,MN27,
50105997,LE PAIN QUOTIDIEN,Manhattan,250,WEST   55 STREET,10019,2122498600,French,02/15/2023,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,20,,,10/09/2024,Cycle Inspection / Initial Inspection,40.765008934526,-73.982895854311,105,06,013700,1089439,1010260055,MN17,
50106493,MOHO MEXICAN GRILL,Queens,3805,BELL BLVD,11361,7187099695,Mexican,09/23/2021,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.766329866877,-73.772417658896,411,19,112300,4137576,4062380018,QN46,
40736836,SILVER STAR RESTAURANT,Manhattan,1236,2 AVENUE,10065,2122494250,American,05/10/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,,,10/09/2024,Cycle Inspection / Initial Inspection,40.76420509581,-73.961705659803,108,05,011800,1044708,1014390049,MN31,
50117281,JUST SALAD,Manhattan,1350,AVENUE OF THE AMERICAS,10019,2122441111,Soups/Salads/Sandwiches,07/06/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,5,,,10/09/2024,Pre-permit (Operational) / Initial Inspection,40.76272452693,-73.978340789128,105,04,010400,1034815,1012700071,MN17,
