Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2011,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,83,7.9,6.9
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,96,8,8.1
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,155,12.9,16
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1445,122.3,160.7
2009,Alzheimer's Disease (G30),F,Asian and Pacific Islander,14,2.5,3.6
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,36,6.8,8.5
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,286,21.4,18.8
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,8,.,.
2009,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,371,27.6,23.3
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,106,.,.
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,42,6.7,6.9
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Other Race/ Ethnicity,.,.,.
2013,Alzheimer's Disease (G30),F,Hispanic,120,9.6,11
2011,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,33,.,.
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,84,7,8.8
2007,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,11,.,.
2007,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,267,20,16.7
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,177,12.5,8.5
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,82,.,.
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,116,9.9,12.8
2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,90,8.6,7.1
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,10,.,.
2007,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,13,2.5,3.2
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,25,4.4,5.1
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,.,.,.
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,124,11.2,18.8
2007,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,969,83,100.7
2007,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,345,25.8,21.7
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,170,19.9,23.3
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,.,.,.
2007,All Other Causes,M,Other Race/ Ethnicity,24,.,.
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,36,5.8,6.3
2010,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3438,240.4,163
2008,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,245,18.3,15.4
2012,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,308,36,42.9
2008,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,187,16.9,35.5
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2077,244.6,330.2
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,7,.,.
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,184,21.4,26.1
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,196,17.5,20
2009,All Other Causes,M,White Non-Hispanic,1818,135.1,118.5
2007,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,9,.,.
2010,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,64,12.3,15.5
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,140,12.3,21.4
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,78,6.7,8.9
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,162,11.3,7.3
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,68,5.8,6.6
2010,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,614,45.8,37.6
2011,Tuberculosis (A16-A19),F,Not Stated/Unknown,.,.,.
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Not Stated/Unknown,8,.,.
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,86,.,.
2013,All Other Causes,M,White Non-Hispanic,2293,170.3,143.3
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,32,6,8
2014,All Other Causes,M,White Non-Hispanic,2275,169.4,141.3
2007,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,.,.,.
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,129,11,17.2
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,103,8.3,9.3
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,209,16.9,19.6
2009,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,.,.,.
2009,All Other Causes,F,Not Stated/Unknown,26,.,.
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,452,85.5,117.8
2013,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3132,232.7,194.5
2011,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,36,.,.
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.,.,.
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,95,16.6,22.9
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5,.,.
2014,Alzheimer's Disease (G30),F,Black Non-Hispanic,123,11.7,9.2
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,162,14.1,16.2
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,White Non-Hispanic,86,6,5.5
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,37,6.7,8
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4495,335.1,277
2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,71,6.8,6.3
2013,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,174,20.3,20.6
2007,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,51,.,.
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,63,5.3,6.2
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7,.,.
2009,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,.,.,.
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,297,22.2,19.8
2010,Diabetes Mellitus (E10-E14),F,Hispanic,219,18,21.5
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,.,.,.
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,248,23.6,22.1
2014,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,418,29.5,15.6
2013,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,622,43.7,22.1
