Ship Mode,First Class,First Class,First Class,Same Day,Same Day,Same Day,Second Class,Second Class,Second Class,Standard Class,Standard Class,Standard Class
Segment,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office
Order Date,,,,,,,,,,,,
2013/3/14,,,,,,,,,,,,91.056
2013/12/16,,,,,,,129.44,,,,,
2013/6/2,,,,,,,,,,605.47,,
2013/10/21,,,,,,,,,,,788.86,
2013/8/27,,,,,,,13.36,,,,,
2013/11/28,,,,,,,,542.34,,,,
2013/3/31,,,,,,,,,,,1.869,
2013/11/21,,,,,,,,,,,865.5,
2013/11/1,,,,,,,,,,,1044.44,
2013/4/5,,,,,,,,4251.92,,,,
2013/7/5,,242.546,,,,,,,,,,
2013/1/15,149.95,,,,,,,,,,,
2013/12/2,,,,,,,,,,,21.19,
2013/3/19,,590.762,,,,,,,,,,
2013/6/27,,,,,,,,,,616.14,,
2013/1/6,,12.78,,,,,,,,,,
2013/5/14,,,,,,,,,,,310.88,
2013/12/12,,,,,,,,,,23.472,,
2013/4/29,,,,,,,,,,,661.504,
2013/10/24,,,,,,,,,,,,10.368
2013/8/15,243.6,,,,,,,,,,,
2013/1/13,,,,,,,545.94,,,,,
2013/4/25,,,,,,,,,,302.376,,
2013/10/18,,,,,,,,2216.8,,,,
2013/1/21,,,,,,,25.248,,,,,
2013/8/17,,,,,,,,,,,484.79,
2013/5/5,,47.32,,,,,,,,,,
