Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts
2024-12-04,GNX,Kendrick Lamar,1,1,1,
2024-12-04,Wicked: The Soundtrack,Cynthia Erivo| Ariana Grande & Various Artists,2,2,1,
2024-12-04,Short n' Sweet,Sabrina Carpenter,3,5,1,14
2024-12-04,CHROMAKOPIA,Tyler| The Creator,4,3,1,5
2024-12-04,Hit Me Hard And Soft,Billie Eilish,5,9,2,28
2024-12-04,The Secret Of Us,Gracie Abrams,6,8,2,23
2024-12-04,Cosa Nuestra,Rauw Alejandro,7,6,6,2
2024-12-04,The Tortured Poets Department,Taylor Swift,8,11,1,32
2024-12-04,One Thing At A Time,Morgan Wallen,9,12,1,91
2024-12-04,The Rise And Fall Of A Midwest Princess,Chappell Roan,10,10,2,36
2024-12-04,The Great American Bar Scene,Zach Bryan,11,33,2,22
2024-12-04,Christmas,Michael Buble,12,24,1,121
2024-12-04,SOS,SZA,13,14,1,103
2024-12-04,Glorious,GloRilla,14,15,5,7
2024-12-04,Stick Season,Noah Kahan,15,16,2,105
2024-12-04,A Philly Special Christmas Party,The Philly Specials,16,16,1,
2024-12-04,Last Lap,Rod Wave,17,13,2,7
2024-12-04,Ultimate Christmas,Bing Crosby,18,39,18,4
2024-12-04,F-1 Trillion,Post Malone,19,19,1,15
2024-12-04,Beautifully Broken,Jelly Roll,20,17,1,7
2024-12-04,Dangerous: The Double Album,Morgan Wallen,21,21,1,203
2024-12-04,Merry Christmas,Mariah Carey,22,36,3,128
2024-12-04,Incomodo,Tito Double P,23,20,11,14
2024-12-04,Golden Hour : Part.2 (EP),ATEEZ,24,1,1,2
2024-12-04,Take Care,BigXthaPlug,25,22,8,7
2024-12-04,Arcane League Of Legends: Season Two,Soundtrack,26,26,1,
2024-12-04,Brat,Charli xcx,27,23,3,25
2024-12-04,The Christmas Song,Nat King Cole,28,63,4,84
2024-12-04,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,29,58,6,119
2024-12-04,From Zero,Linkin Park,30,2,2,2
2024-12-04,I've Tried Everything But Therapy (Part I),Teddy Swims,31,27,17,60
2024-12-04,One Assassination Under God: Chapter 1,Marilyn Manson,32,32,1,
2024-12-04,Wicked,Original Broadway Cast Recording,33,79,33,116
2024-12-04,Lover,Taylor Swift,34,31,1,275
2024-12-04,Where I've Been; Isn't Where I'm Going,Shaboozey,35,37,5,26
2024-12-04,The Pinkprint,Nicki Minaj,36,2,124,
2024-12-04,Diamonds,Elton John,37,38,7,368
2024-12-04,Fireworks & Rollerblades,Benson Boone,38,28,6,34
2024-12-04,Goodbye & Good Riddance,Juice WRLD,39,65,4,341
2024-12-04,Zach Bryan,Zach Bryan,40,29,1,66
2024-12-04,Midnights,Taylor Swift,41,34,1,110
2024-12-04,Ultimate Christmas,Frank Sinatra,42,78,12,48
2024-12-04,A Christmas Gift For You From Phil Spector,Various Artists,43,85,7,41
2024-12-04,Folklore,Taylor Swift,44,35,1,227
2024-12-04,American Heartbreak,Zach Bryan,45,30,5,132
2024-12-04,1989 (Taylor's Version),Taylor Swift,46,40,1,57
2024-12-04,Rumours,Fleetwood Mac,47,43,1,609
2024-12-04,Man Down,Ice Cube,48,48,1,
2024-12-04,Blonde,Frank Ocean,49,32,1,410
2024-12-04,The Andy Williams Christmas Album,Andy Williams,50,111,14,38
